subject_id,subject_name,tutor
100967,Arts,Jacob Harris
100968,Science,Jacob Harris
100969,Science,Lily Jones
100970,English,Ava White
100971,Mathematics,Jessica Davies
100972,English,Oscar Brown
100973,Science,Thomas Brown
100974,Arts,Olivia King
100975,Science,Jacob Brown
100976,Arts,Oscar Evans
100977,Social studies,Charlie Taylor
100978,Mathematics,Jacob Harris
100979,Arts,Lily Jones
100980,English,Jack Martin
100981,Mathematics,Ava Wilson
100982,Social studies,Isabella Martin
100983,Mathematics,Harry Martin
100984,Arts,Ava Wilson
100985,English,Charlie Davies
100986,Science,Oscar Evans
100987,Science,Jack Martin
100988,Arts,Jacob Brown
100989,Social studies,Charlie Taylor
100990,Arts,Charlie Davies
100991,Science,Jacob Harris
100992,English,Thomas Brown
100993,Arts,Olivia King
100994,English,Charlie Davies
100995,English,Jessica Davies
100996,English,Oscar Evans
100997,Arts,Thomas Brown
100998,English,Jessica Davies
100999,English,Charlie Davies
101000,Science,Ava Wilson
